job_title,years_experience,education_level,skills,country,city,industry,company_size,employment_type,work_mode,certifications,annual_salary_usd
Database Administrator,1,Bachelor's Degree,Linux;SQL;PostgreSQL;MongoDB,Netherlands,The Hague,Telecommunications,Small (51–200),Part-time,Remote,None,33000
Network Engineer,6,Bachelor's Degree,React;Azure;Linux;AWS;Python,United States,Atlanta,Startups,Medium (201–1000),Full-time,Hybrid,Google Cloud Professional,158000
Network Engineer,5,Master's Degree,AWS;Azure;Apache Spark;Python;Linux,Canada,Calgary,Government & Public Sector,Startup (1–50),Contract,On-site,Google Cloud Professional,165900
Business Analyst,5,Bachelor's Degree,SQL,India,Chennai,Finance & Banking,Large (1001–5000),Freelance,Hybrid,None,20000
Business Analyst,15,Associate's Degree,Python;MongoDB;Linux;REST APIs,Canada,Calgary,Education & Research,Enterprise (5000+),Contract,On-site,None,110800
Frontend Developer,11,Master's Degree,Deep Learning;Git;GraphQL;JavaScript;React;TypeScript,United States,Chicago,Media & Entertainment,Medium (201–1000),Full-time,Hybrid,None,152900
Solutions Architect,18,Master's Degree,TensorFlow;REST APIs;GCP;JavaScript;Python;Azure,United States,Austin,Automotive,Small (51–200),Full-time,On-site,None,261800
Senior Data Analyst,9,Bachelor's Degree,SQL;TypeScript;Apache Spark;Machine Learning;Scala;Linux;PostgreSQL,United States,Los Angeles,Media & Entertainment,Startup (1–50),Contract,Hybrid,Salesforce Certified,188700
Mobile Developer,2,Master's Degree,Git;Java;PostgreSQL,Canada,Toronto,Manufacturing,Large (1001–5000),Full-time,On-site,None,81000
Database Administrator,6,Bachelor's Degree,Linux;CI/CD;Redis;TypeScript,Canada,Calgary,Education & Research,Startup (1–50),Contract,On-site,CISSP (Security),70700
DevOps Engineer,1,Master's Degree,Python;AWS;Docker;CI/CD;Linux,United Kingdom,Manchester,Telecommunications,Large (1001–5000),Full-time,On-site,CompTIA Security+,124300
Machine Learning Engineer,2,Bachelor's Degree,PyTorch;Docker;Deep Learning;AWS;Python;Kubernetes;GCP;Rust;TensorFlow,Brazil,Rio de Janeiro,Automotive,Startup (1–50),Internship,Remote,Google Cloud Professional,15900
Data Engineer,2,Master's Degree,AWS;Kafka;Apache Spark;PostgreSQL;TypeScript,Sweden,Stockholm,Energy & Utilities,Medium (201–1000),Full-time,Hybrid,AWS Certified Solutions Architect,149500
Data Scientist,3,Master's Degree,REST APIs;TensorFlow;Deep Learning;Apache Spark;PyTorch,United States,Los Angeles,Manufacturing,Medium (201–1000),Full-time,Hybrid,None,143600
Mobile Developer,11,Master's Degree,React;JavaScript;TypeScript;Java,Canada,Vancouver,Aerospace & Defense,Enterprise (5000+),Full-time,Hybrid,AWS Certified Solutions Architect,173000
Software Engineer,7,Bachelor's Degree,Python;Git;SQL;Java;C++;REST APIs,South Korea,Seoul,Aerospace & Defense,Medium (201–1000),Full-time,On-site,Data Science Professional (IBM),105900
Data Scientist,1,Bachelor's Degree,Apache Spark;Linux;TensorFlow;PyTorch;Deep Learning;SQL;GraphQL;Scala;Rust;Machine Learning,Netherlands,Rotterdam,Technology,Large (1001–5000),Freelance,Hybrid,Google Cloud Professional,140900
Project Manager,7,Bachelor's Degree,SQL,United States,Boston,Insurance,Medium (201–1000),Full-time,On-site,None,111200
Solutions Architect,2,Master's Degree,REST APIs;GraphQL;AWS;Kubernetes,United States,New York,Healthcare & Pharma,Medium (201–1000),Full-time,Remote,None,169000
Data Science Manager,9,PhD / Doctorate,Go;SQL;Apache Spark;Machine Learning,India,Delhi,Government & Public Sector,Medium (201–1000),Full-time,On-site,CFA (Finance),54600
Solutions Architect,7,Bachelor's Degree,SQL;MongoDB;Kubernetes;Docker;REST APIs;GCP;Azure;AWS,India,Bengaluru,Energy & Utilities,Enterprise (5000+),Full-time,Hybrid,None,52200
Data Scientist,3,Bachelor's Degree,Python;Apache Spark;REST APIs;Machine Learning;Go;TensorFlow;PyTorch;SQL,United States,Austin,Insurance,Large (1001–5000),Internship,Remote,CFA (Finance),69400
Data Science Manager,7,Master's Degree,Apache Spark;Python,United States,New York,Energy & Utilities,Small (51–200),Freelance,Hybrid,CISSP (Security),244400
Site Reliability Engineer,26,Master's Degree,Linux;JavaScript;Kubernetes;Docker;CI/CD,South Korea,Seoul,Telecommunications,Large (1001–5000),Full-time,On-site,None,225100
Cybersecurity Analyst,2,Associate's Degree,TypeScript;Azure;CI/CD,Switzerland,Basel,Startups,Enterprise (5000+),Full-time,Hybrid,AWS Certified Solutions Architect,133600
AI/ML Researcher,2,Master's Degree,Python;C++;PyTorch;Machine Learning;TensorFlow;Deep Learning,Netherlands,Rotterdam,E-commerce & Retail,Enterprise (5000+),Full-time,Hybrid,None,215500
Backend Developer,15,High School / GED,SQL;Docker;Java;PostgreSQL;Python;Redis,Germany,Hamburg,Media & Entertainment,Startup (1–50),Contract,Remote,None,99400
Solutions Architect,13,Bachelor's Degree,Docker;REST APIs;GCP;Go,United Kingdom,London,Education & Research,Startup (1–50),Full-time,Hybrid,None,146100
Cybersecurity Analyst,11,Bachelor's Degree,Linux;SQL,United States,Denver,Insurance,Small (51–200),Contract,Hybrid,None,181600
UX/UI Designer,4,Bachelor's Degree,React;Machine Learning;Deep Learning;TypeScript,Switzerland,Zurich,Consulting,Startup (1–50),Full-time,Hybrid,None,149400
Project Manager,2,Bachelor's Degree,Rust;REST APIs;Go;SQL,India,Bengaluru,Media & Entertainment,Medium (201–1000),Full-time,Remote,PMP (Project Management);Google Cloud Professional,19300
Network Engineer,5,Master's Degree,Azure;Python;PostgreSQL;Linux;CI/CD;GCP;JavaScript,United States,Miami,Insurance,Medium (201–1000),Full-time,Hybrid,AWS Certified Solutions Architect,149300
Engineering Manager,7,High School / GED,Docker;Kubernetes;Python;JavaScript;AWS,South Korea,Busan,Automotive,Enterprise (5000+),Full-time,On-site,CKA (Kubernetes),133500
Security Engineer,6,Bachelor's Degree,AWS;Linux;Deep Learning;CI/CD,United States,Denver,Government & Public Sector,Enterprise (5000+),Full-time,On-site,CFA (Finance),184800
QA Engineer,4,Bachelor's Degree,Kubernetes;Java;MongoDB,India,Mumbai,Manufacturing,Startup (1–50),Contract,Hybrid,None,18500
Data Analyst,9,Master's Degree,SQL;PostgreSQL;Git;TypeScript;Python;MongoDB;JavaScript,India,Pune,Technology,Small (51–200),Full-time,Remote,None,23400
Security Engineer,2,Bachelor's Degree,Git;AWS;CI/CD;React;Docker;TensorFlow,United States,New York,Technology,Small (51–200),Full-time,Hybrid,Google Cloud Professional;PMP (Project Management),160200
AI/ML Researcher,5,Bootcamp Graduate,Python;Kubernetes;Deep Learning;TensorFlow,France,Lyon,Telecommunications,Medium (201–1000),Contract,Remote,None,168100
Cloud Architect,8,Bachelor's Degree,Azure;Go;AWS;Kubernetes;GCP;CI/CD;Docker,United Kingdom,Bristol,Healthcare & Pharma,Enterprise (5000+),Freelance,On-site,None,247500
Cloud Architect,3,Associate's Degree,SQL;Terraform;Deep Learning;Kubernetes;Kafka;AWS;Docker;Azure,France,Marseille,Telecommunications,Enterprise (5000+),Full-time,On-site,None,111900
Business Analyst,4,Bachelor's Degree,Python;PostgreSQL;AWS;REST APIs;Apache Spark,India,Delhi,Media & Entertainment,Startup (1–50),Full-time,On-site,Google Cloud Professional,16900
Backend Developer,7,Master's Degree,CI/CD;Apache Spark;Python;Docker;PostgreSQL;SQL;JavaScript;Kubernetes;Node.js;Java,Netherlands,Rotterdam,Energy & Utilities,Startup (1–50),Full-time,Remote,Salesforce Certified,119800
Technical Lead,6,Master's Degree,Java;CI/CD;Git;TensorFlow,Netherlands,Rotterdam,Education & Research,Small (51–200),Contract,Remote,Google Cloud Professional,147900
Database Administrator,2,Bachelor's Degree,PostgreSQL;Linux;Redis;Azure,China,Beijing,Automotive,Medium (201–1000),Freelance,Remote,None,38000
Security Engineer,6,Bachelor's Degree,PostgreSQL;Redis;Docker;CI/CD;AWS;Python,China,Beijing,Energy & Utilities,Medium (201–1000),Full-time,Hybrid,None,57400
Cloud Architect,8,High School / GED,AWS;Scala;Azure;GCP;Terraform;Docker;Linux;Kafka,United States,Atlanta,E-commerce & Retail,Medium (201–1000),Full-time,On-site,None,191000
UX/UI Designer,14,High School / GED,TensorFlow;TypeScript;Kubernetes,United States,Chicago,Aerospace & Defense,Large (1001–5000),Full-time,On-site,None,143800
Solutions Architect,2,Bachelor's Degree,AWS;CI/CD;Kubernetes;GCP;Docker;REST APIs;Azure,Germany,Cologne,Consulting,Large (1001–5000),Contract,Hybrid,None,162500
Blockchain Developer,9,Master's Degree,SQL;Rust,Switzerland,Geneva,Healthcare & Pharma,Small (51–200),Full-time,Remote,CFA (Finance),231900
Data Engineer,9,Bachelor's Degree,Kafka;PostgreSQL;Apache Spark;AWS;MongoDB;Python;Redis,India,Pune,Automotive,Startup (1–50),Contract,Remote,Data Science Professional (IBM),49500
Site Reliability Engineer,9,Master's Degree,Linux;Kubernetes;React;Python;AWS;CI/CD;JavaScript;GCP;REST APIs,India,Delhi,Manufacturing,Small (51–200),Internship,Hybrid,None,15700
Systems Architect,12,Master's Degree,AWS;Linux;Kubernetes;Git;Apache Spark,United States,Boston,Insurance,Startup (1–50),Full-time,Hybrid,Google Cloud Professional,279600
Frontend Developer,4,High School / GED,React;Git;REST APIs,Poland,Warsaw,Telecommunications,Small (51–200),Full-time,Hybrid,None,30500
Blockchain Developer,3,PhD / Doctorate,SQL;Go,Brazil,Rio de Janeiro,Telecommunications,Small (51–200),Contract,Hybrid,PMP (Project Management),54400
Senior Software Engineer,4,PhD / Doctorate,Node.js;Git;Kubernetes;Java;AWS,United States,Seattle,Startups,Startup (1–50),Internship,Hybrid,None,77100
Data Analyst,35,Master's Degree,REST APIs;PostgreSQL;Git;Python,Germany,Munich,Aerospace & Defense,Startup (1–50),Full-time,Remote,CompTIA Security+,102300
Technical Lead,10,Master's Degree,Git;Kubernetes;Java;Docker,Canada,Ottawa,Media & Entertainment,Medium (201–1000),Full-time,Remote,AWS Certified Solutions Architect,158300
Backend Developer,4,Bootcamp Graduate,Redis;Docker;SQL;Java;Node.js,United States,Miami,Technology,Medium (201–1000),Part-time,Remote,None,75100
Cloud Architect,6,Master's Degree,Azure;CI/CD;AWS;Docker;Kubernetes;Terraform;GCP;Rust,United States,Seattle,Manufacturing,Small (51–200),Full-time,Remote,Data Science Professional (IBM),197200
Machine Learning Engineer,3,Associate's Degree,AWS;PyTorch;Deep Learning;Kubernetes;Kafka,Australia,Adelaide,E-commerce & Retail,Enterprise (5000+),Full-time,On-site,None,154500
AI/ML Researcher,3,Bachelor's Degree,Deep Learning;Python;PostgreSQL,Australia,Brisbane,Insurance,Startup (1–50),Full-time,On-site,None,120100
Engineering Manager,6,Associate's Degree,Python;Docker;CI/CD;Kubernetes;Java;AWS,South Korea,Seoul,Consulting,Large (1001–5000),Full-time,On-site,None,131800
Security Engineer,33,Bachelor's Degree,Python;Redis;Docker;CI/CD;AWS;Apache Spark,Singapore,Singapore City,Automotive,Startup (1–50),Contract,Hybrid,Azure Solutions Architect,272500
Systems Architect,1,Associate's Degree,GCP;Kubernetes;Azure;Linux;AWS;Docker,France,Lyon,Energy & Utilities,Startup (1–50),Full-time,On-site,CKA (Kubernetes),92800
Systems Architect,3,High School / GED,Kubernetes;Node.js;AWS;Linux;GCP,Germany,Hamburg,E-commerce & Retail,Enterprise (5000+),Full-time,Remote,CompTIA Security+,140000
Senior Data Analyst,3,Master's Degree,JavaScript;SQL;Apache Spark;PostgreSQL;Machine Learning;Python,Canada,Ottawa,Technology,Medium (201–1000),Freelance,Remote,Salesforce Certified,140400
QA Engineer,9,Bachelor's Degree,TypeScript;SQL;Git;Docker,Germany,Berlin,Media & Entertainment,Large (1001–5000),Internship,Remote,Google Cloud Professional,34100
Backend Developer,2,Bachelor's Degree,Java;Redis;SQL;Python;JavaScript,India,Bengaluru,Automotive,Startup (1–50),Full-time,Remote,None,17000
Frontend Developer,4,Bachelor's Degree,JavaScript;Scala;Node.js;TypeScript;GraphQL;Git,Switzerland,Geneva,Manufacturing,Enterprise (5000+),Part-time,Hybrid,CFA (Finance);PMP (Project Management),76000
Software Engineer,24,Bachelor's Degree,Kubernetes;Java;PostgreSQL;C++;Apache Spark;Git;Python;REST APIs;SQL,South Korea,Busan,Consulting,Small (51–200),Full-time,On-site,Azure Solutions Architect,170200
Data Science Manager,2,PhD / Doctorate,Python;Apache Spark,Argentina,Buenos Aires,Media & Entertainment,Startup (1–50),Contract,On-site,None,52900
Software Engineer,33,Bachelor's Degree,REST APIs;Machine Learning;MongoDB;Python;Docker,Canada,Toronto,Energy & Utilities,Enterprise (5000+),Freelance,Remote,AWS Certified Solutions Architect,302200
Cybersecurity Analyst,1,PhD / Doctorate,CI/CD;Kubernetes,United States,New York,Media & Entertainment,Small (51–200),Full-time,Remote,Salesforce Certified,109100
Full Stack Developer,16,Master's Degree,SQL;MongoDB;Docker;TypeScript;React;Node.js;Redis;Kafka;JavaScript;Machine Learning,Japan,Yokohama,Automotive,Startup (1–50),Full-time,Hybrid,Azure Solutions Architect,135400
Mobile Developer,8,Bachelor's Degree,Java;JavaScript;React,UAE,Abu Dhabi,Startups,Enterprise (5000+),Full-time,On-site,None,141600
Data Scientist,2,Bachelor's Degree,PyTorch;Apache Spark;Deep Learning;Python;Rust,Australia,Adelaide,Automotive,Large (1001–5000),Part-time,Remote,PMP (Project Management);Salesforce Certified,74000
DevOps Engineer,0,High School / GED,Linux;Docker;Azure;Kubernetes;MongoDB;GraphQL;CI/CD;Python;AWS,United States,Denver,Manufacturing,Small (51–200),Full-time,Hybrid,PMP (Project Management),74300
Data Analyst,4,Master's Degree,Linux;SQL;Python,United States,New York,Finance & Banking,Startup (1–50),Freelance,Hybrid,CKA (Kubernetes),94300
Machine Learning Engineer,22,High School / GED,AWS;PyTorch;Deep Learning;TensorFlow;Docker;Kubernetes,United Kingdom,London,Energy & Utilities,Enterprise (5000+),Contract,Hybrid,None,267000
Backend Developer,4,Bachelor's Degree,Kubernetes;Node.js;SQL;Docker;Java;React;Python;PostgreSQL,United States,Los Angeles,Consulting,Large (1001–5000),Full-time,On-site,None,159000
AI/ML Researcher,19,Bachelor's Degree,TensorFlow;Python;Apache Spark;PyTorch;Machine Learning,France,Marseille,Energy & Utilities,Small (51–200),Full-time,Remote,None,209600
Backend Developer,15,Master's Degree,Redis;Python;Docker;Java;Git,Canada,Toronto,Startups,Enterprise (5000+),Full-time,Remote,None,215000
Cybersecurity Analyst,2,Bachelor's Degree,TypeScript;AWS;Python;CI/CD;Git,Germany,Hamburg,E-commerce & Retail,Medium (201–1000),Part-time,Remote,Data Science Professional (IBM),52700
Business Analyst,7,High School / GED,Python,China,Shenzhen,Startups,Enterprise (5000+),Full-time,On-site,None,31900
Project Manager,6,Bootcamp Graduate,SQL,India,Pune,Aerospace & Defense,Medium (201–1000),Internship,Hybrid,PMP (Project Management),8000
Project Manager,6,Master's Degree,C++,United States,Chicago,Education & Research,Large (1001–5000),Contract,Remote,CKA (Kubernetes),149800
Network Engineer,21,Bachelor's Degree,AWS;Linux;REST APIs;Azure;Python;Go;TensorFlow,United States,Denver,Aerospace & Defense,Small (51–200),Full-time,Hybrid,None,182700
Senior Data Analyst,33,PhD / Doctorate,Kubernetes;Java;Python;Apache Spark;PostgreSQL;SQL;Machine Learning;Go,Netherlands,The Hague,Healthcare & Pharma,Enterprise (5000+),Full-time,Remote,CompTIA Security+,253100
Product Manager,5,Bachelor's Degree,SQL;Git;REST APIs,Singapore,Singapore City,Energy & Utilities,Startup (1–50),Contract,Remote,PMP (Project Management),144900
Blockchain Developer,7,Bachelor's Degree,SQL;GraphQL;Go;Linux,United Kingdom,Edinburgh,Energy & Utilities,Startup (1–50),Full-time,Hybrid,Google Cloud Professional,124500
QA Engineer,5,Bachelor's Degree,SQL;MongoDB;Scala;Git;Redis;REST APIs;Python;CI/CD,United Kingdom,Bristol,Healthcare & Pharma,Enterprise (5000+),Full-time,On-site,None,98100
Software Engineer,3,Bachelor's Degree,SQL;Scala;REST APIs;Java;Python;C++;Rust;Linux,United States,Los Angeles,Media & Entertainment,Enterprise (5000+),Part-time,Hybrid,PMP (Project Management),89800
Project Manager,8,Master's Degree,Node.js,Netherlands,The Hague,Media & Entertainment,Startup (1–50),Full-time,Hybrid,CKA (Kubernetes),80700
Network Engineer,12,Master's Degree,Azure;Linux;AWS,Netherlands,Rotterdam,Automotive,Startup (1–50),Full-time,Hybrid,None,101900
QA Engineer,11,Master's Degree,SQL;CI/CD;JavaScript;Kafka;Python;Kubernetes;Git,Canada,Calgary,Healthcare & Pharma,Small (51–200),Contract,On-site,None,140700
Systems Architect,3,Master's Degree,Azure;TensorFlow;AWS;Kubernetes;GCP;Linux,UAE,Abu Dhabi,Automotive,Small (51–200),Contract,On-site,None,160400
Cybersecurity Analyst,10,PhD / Doctorate,Node.js;Go,United States,Atlanta,Insurance,Medium (201–1000),Part-time,Hybrid,Google Cloud Professional,112700
QA Engineer,5,Bachelor's Degree,Git;CI/CD;Kubernetes;Node.js;REST APIs,United States,Atlanta,Education & Research,Small (51–200),Internship,On-site,AWS Certified Solutions Architect,26900
Software Engineer,16,Associate's Degree,Linux;SQL;Docker;REST APIs;Java;Python,Japan,Osaka,Manufacturing,Startup (1–50),Internship,Hybrid,Google Cloud Professional,35200
Senior Software Engineer,9,Bachelor's Degree,Java;Apache Spark;Git;Python;Kubernetes,United States,Austin,Education & Research,Startup (1–50),Contract,On-site,AWS Certified Solutions Architect,177300
Technical Lead,5,Bachelor's Degree,Java;Python;Git;Kubernetes;Docker,United States,New York,E-commerce & Retail,Large (1001–5000),Full-time,On-site,None,214600
Project Manager,11,High School / GED,SQL;Apache Spark,India,Pune,Government & Public Sector,Small (51–200),Part-time,On-site,Google Cloud Professional,9600
Cloud Architect,17,Bootcamp Graduate,GCP;AWS;Terraform;Azure;TypeScript;Kubernetes;Docker;Git;Linux,United States,Seattle,E-commerce & Retail,Medium (201–1000),Part-time,On-site,CFA (Finance);PMP (Project Management),182900
